Store Number,Equipment,Quantity,Repair,Replace,Notes
1220,"Oil Pumps (Operational,  Down Time)",2,0,,530 works and 520 fireball does not
1220,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,0,,
1220,"Oil Guns (Leaking, Screen operational)",6,,1,"Counters do not work, only 530 dispenses, 5 oil guns do not work"
1220,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,,1,leaks oil into lower bay
1220,Grease Gun (Leaking),3,,1,do not work
1220,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,,"Bay one lift lifts off center, bay two hydraulic line has pinhole leak"
1220,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1220,Oil Tanks (Leaking),0,,,
1220,"Oil Tank Hoses (Leaking, Cracked, Worn)",4,,,
1220,Oil Tanks (Not In Use),5,,,5 Tanks are empty need pumps and hoses 
1220,Trash Cans,7,,,
1220,Water Bibb cocks (washer/coolant),2,,1,bay one is ripped
1220,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,,
1220,Coolant pump/hoses (Operational),0,,,
1220,"Air Regulators (Operational, Leaks)",1,0,,
1220,"Air hoses (Operational, Leaks, Cracks)",3,0,,
1220,"Water Separators (Operational, Leaks)",1,0,,
1220,Lower Bay Mop Sink Lift Pump (Operational),0,0,,
1258,Transmission Machine,0,,1,
1258,Tire Machines,1,0,0,
1258,Tire Balancer,1,0,0,
1258,Radiator Machine,0,,1,
1258,Oil Evacuator,1,0,0,
1258,Differential EVAC machine,0,,1,
1258,BFE EVAC Machine,0,,1,
1258,A/C machine,0,,1,
1258,Sump EVAC Machine,,,,
1258,"Oil sumps (leaking, roller condition)",3,0,0,
1258,"Compressors (Operational, Down Time)",1,0,0,
1258,"Oil Pumps (Operational,  Down Time)",4,0,0,
1258,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,1,,leaks
1258,"Oil Guns (Leaking, Screen operational)",6,1,,leaks
1258,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,1,,leaks
1258,Grease Gun (Leaking),0,,1,
1258,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,0,0,
1258,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1258,Oil Tanks (Leaking),4,0,0,
1258,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
1258,Oil Tanks (Not In Use),1,0,0,
1258,Trash Cans,3,0,0,
1258,Water Bibb cocks (washer/coolant),4,,1,
1258,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,,1,
1258,Coolant pump/hoses (Operational),1,,1,
1258,"Air Regulators (Operational, Leaks)",6,0,0,
1258,"Air hoses (Operational, Leaks, Cracks)",4,0,0,
1258,"Water Separators (Operational, Leaks)",6,0,0,
1258,Lower Bay Mop Sink Lift Pump (Operational),0,,,
1263,Transmission Machine,0,,1,
1263,Tire Machines,1,1,,Needs new duck bill
1263,Tire Balancer,1,0,,
1263,Radiator Machine,0,,1,
1263,Oil Evacuator,1,,,
1263,Differential EVAC machine,0,,1,
1263,BFE EVAC Machine,0,,1,
1263,A/C machine,0,,1,
1263,Sump EVAC Machine,0,,1,
1263,"Oil sumps (leaking, roller condition)",3,1,,does not roll smoothly
1263,"Compressors (Operational, Down Time)",1,0,,
1263,"Oil Pumps (Operational,  Down Time)",3,1,,oil air rates at random times. Possibly fireballs
1263,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,0,,
1263,"Oil Guns (Leaking, Screen operational)",6,,1,Counters do not work
1263,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,,1,Weeps oil into lower bay
1263,Grease Gun (Leaking),3,,1,do not work
1263,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,,bay three lift can not lift vehicle
1263,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1263,Oil Tanks (Leaking),3,1,,waste oil tanks weep
1263,"Oil Tank Hoses (Leaking, Cracked, Worn)",3,0,,
1263,Oil Tanks (Not In Use),4,,,4 Tanks are empty
1263,Trash Cans,8,,,
1263,Water Bibb cocks (washer/coolant),2,,1,leaking and missing nozzles
1263,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,,
1263,Coolant pump/hoses (Operational),0,,,
1263,"Air Regulators (Operational, Leaks)",1,0,,
1263,"Air hoses (Operational, Leaks, Cracks)",5,,1,Bay one hose and also bay three need replaced
1263,"Water Separators (Operational, Leaks)",1,0,,
1263,Lower Bay Mop Sink Lift Pump (Operational),0,0,,
1279,Transmission Machine,0,,1,
1279,Tire Machines,1,0,0,
1279,Tire Balancer,1,0,0,
1279,Radiator Machine,1,0,0,
1279,Oil Evacuator,1,0,0,
1279,Differential EVAC machine,1,,1,
1279,BFE EVAC Machine,0,,1,
1279,A/C machine,0,,1,
1279,Sump EVAC Machine,,,1,
1279,"Oil sumps (leaking, roller condition)",,1,,Needs to be repaired
1279,"Compressors (Operational, Down Time)",1,1,,
1279,"Oil Pumps (Operational,  Down Time)",3,,,
1279,"Oil Pump Hoses (Leaking, Cracked, Worn)",3,,1,Worn and needs to be replaced
1279,"Oil Guns (Leaking, Screen operational)",6,,1,All oil guns leak and need replacing along with fixrure that hold the guns in place
1279,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,,1,Worn and needs to be replaced
1279,Grease Gun (Leaking),,,1,We do not have a grease gun. 
1279,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,,Lifts need a PM and repair work doen to the lift on bay 2
1279,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,,,
1279,Oil Tanks (Leaking),6,,,
1279,"Oil Tank Hoses (Leaking, Cracked, Worn)",,,,
1279,Oil Tanks (Not In Use),3,,,"We have 3 tanks not in use, possibly convert for plat oils or remove for more storage"
1279,Trash Cans,5,0,0,
1279,Water Bibb cocks (washer/coolant),,,,
1279,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,,1,leaks - needs replacing
1279,Coolant pump/hoses (Operational),0,,,we do not have a pump for coolant
1279,"Air Regulators (Operational, Leaks)",1,,,
1279,"Air hoses (Operational, Leaks, Cracks)",3,,,
1279,"Water Separators (Operational, Leaks)",,,,
1279,Lower Bay Mop Sink Lift Pump (Operational),,,,we need a new sink for lower bay
1282,Transmission Machine ,0,,,NEED
1282,Tire Machines,1,0,0,
1282,Tire Balancer,1,0,0,
1282,Radiator Machine,0,,,NEED
1282,Oil Evacuator,1,0,0,
1282,Differential EVAC machine,0,,,NEED
1282,BFE EVAC Machine,0,,,NEED
1282,A/C machine,0,,,
1282,Sump EVAC Machine ,,,,
1282,"Oil sumps (leaking, roller condition)",2,0,0,
1282,"Compressors (Operational, Down Time)",1,0,0,
1282,"Oil Pumps (Operational,  Down Time)",3,0,1,5w30 Gold Pump leaking / POSSIBLE REPAIR
1282,"Oil Pump Hoses (Leaking, Cracked, Worn)",3,0,0,
1282,"Oil Guns (Leaking, Screen operational)",3,0,0,
1282,"Oil Gun Hoses (Leaking, Cracked, Worn)",3,0,0,
1282,Grease Gun (Leaking),2,0,0,
1282,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,0,BROKEN HOSE BAY 1
1282,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1282,Oil Tanks (Leaking),1,0,1,REMOVE / AUTHORIZED PROJECT UNDERWAY
1282,"Oil Tank Hoses (Leaking, Cracked, Worn)",3,0,0,
1282,Oil Tanks (Not In Use),2,0,1,WASTE OIL AND WASTE COOLANT TO BE REMOVED
1282,Trash Cans ,4,0,,
1282,Water Bibb cocks (washer/coolant),1,0,0,
1282,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
1282,Coolant pump/hoses (Operational),0,,,
1282,"Air Regulators (Operational, Leaks)",5,0,1,Possible replacement due to age/condition
1282,"Air hoses (Operational, Leaks, Cracks)",4,1,0,INSTALL REEL FOR SAFE RETRACTION AFTER USE
1282,"Water Separators (Operational, Leaks)",5,0,1,OLDER AND LEAKING/DAMAGED
1282,Lower Bay Mop Sink Lift Pump (Operational),1,0,0,
1291,Transmission Machine,1,0,0,
1291,Tire Machines,1,0,0,
1291,Tire Balancer,1,0,0,
1291,Radiator Machine,1,0,0,
1291,Oil Evacuator,1,0,0,
1291,Differential EVAC machine,2,1,0,Needs new hose attachments
1291,BFE EVAC Machine,1,0,0,
1291,A/C machine,,,,
1291,Sump EVAC Machine,,,,
1291,"Oil sumps (leaking, roller condition)",5,1,0,Small leaks from hose attachments
1291,"Compressors (Operational, Down Time)",2,1,1,Only one works and runs most of the day
1291,"Oil Pumps (Operational,  Down Time)",6,1,1,the 5W30 platinum pump runs all the time
1291,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,0,0,
1291,"Oil Guns (Leaking, Screen operational)",10,0,1,2 of the screens are cracked but works
1291,"Oil Gun Hoses (Leaking, Cracked, Worn)",10,0,0,
1291,Grease Gun (Leaking),2,1,1,need new ones.  Clogged and works sometimes
1291,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,0,0,
1291,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",1,0,0,
1291,Oil Tanks (Leaking),10,0,0,
1291,"Oil Tank Hoses (Leaking, Cracked, Worn)",5,0,0,
1291,Oil Tanks (Not In Use),na,,,
1291,Trash Cans,6,0,1,two have holes in the bottom
1291,Water Bibb cocks (washer/coolant),2,0,0,
1291,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,1,1,always runs which causes the compressor to run most of the day
1291,Coolant pump/hoses (Operational),1,1,0,"pump is always on, have to use the air pressure to turn it on and off"
1291,"Air Regulators (Operational, Leaks)",7,0,0,
1291,"Air hoses (Operational, Leaks, Cracks)",3,0,0,
1291,"Water Separators (Operational, Leaks)",1,0,0,
1291,Lower Bay Mop Sink Lift Pump (Operational),na,,,
1293,Transmission Machine,1,0,0,
1293,Tire Machines,0,,,
1293,Tire Balancer,0,,,
1293,Radiator Machine,1,0,0,
1293,Oil Evacuator,1,0,0,
1293,Differential EVAC machine,0,,,
1293,BFE EVAC Machine,1,0,0,
1293,A/C machine,0,,,
1293,Sump EVAC Machine,0,,,
1293,"Oil sumps (leaking, roller condition)",4,1,0,Bay 1 & 2 oil sumps have missing rollers; Repair. Bay 1 wheel adjuster has broken weld making the wheel able to slide; Repair
1293,"Compressors (Operational, Down Time)",1,0,0,
1293,"Oil Pumps (Operational,  Down Time)",5,0,1,1 pump needs replaced on gear oil tank
1293,"Oil Pump Hoses (Leaking, Cracked, Worn)",5,0,0,
1293,"Oil Guns (Leaking, Screen operational)",10,0,1,020 #2 doesn't read oil on screen; Replace 530 Conv #2 oil gun doesn't turn on and has internal batteries; Replace
1293,"Oil Gun Hoses (Leaking, Cracked, Worn)",10,1,1,"#2 020 full syn hose broken off; ?ame 020 that doesn't read' Replace. #2 530 full syn hose broken, gun leaking; Replace. #2 520 Conv leaking; Repair   "
1293,Grease Gun (Leaking),4,0,0,
1293,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,0,Lift on bay 4 doesn't operate and needs to be removed. Bay 1 lift locks aren't Engaging/Disengaging as they should; Repair
1293,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1293,Oil Tanks (Leaking),7,0,0,
1293,"Oil Tank Hoses (Leaking, Cracked, Worn)",8,0,0,
1293,Oil Tanks (Not In Use),1,0,0,GEAR OIL TANK NEEDS A PUMP
1293,Trash Cans,8,0,1,A FEW OF MY TRASH CANS HAVE CHUCKS OF MATERIAL BROKEN OFF ; BOTH lobby TRASH CANS
1293,Water Bibb cocks (washer/coolant),2,0,1,WATER BIBB FOR BAY 1 & 2 IS NOT THE CORRECT ID NEEDS TO BE 3/8. THE WASHER FLUID PSI TO LOW UNABLE TO USE REEL; REPLACE
1293,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
1293,Coolant pump/hoses (Operational),1,0,0,
1293,"Air Regulators (Operational, Leaks)",8,0,0,
1293,"Air hoses (Operational, Leaks, Cracks)",3,0,0,
1293,"Water Separators (Operational, Leaks)",1,0,0,
1293,Lower Bay Mop Sink Lift Pump (Operational),0,,,
1304,Transmission Machine,1,,1,
1304,Tire Machines,1,0,0,
1304,Tire Balancer,1,0,0,
1304,Radiator Machine,1,,1,
1304,Oil Evacuator,1,0,0,
1304,Differential EVAC machine,0,,1,
1304,BFE EVAC Machine,1,0,0,
1304,A/C machine,1,,1,
1304,Sump EVAC Machine,0,,,
1304,"Oil sumps (leaking, roller condition)",2,0,0,
1304,"Compressors (Operational, Down Time)",1,,,
1304,"Oil Pumps (Operational,  Down Time)",3,1,1,"toatal of 3, 2 work but leak, 1 down"
1304,"Oil Pump Hoses (Leaking, Cracked, Worn)",3,1,,
1304,"Oil Guns (Leaking, Screen operational)",3,,1,
1304,"Oil Gun Hoses (Leaking, Cracked, Worn)",3,1,,
1304,Grease Gun (Leaking),0,,,
1304,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,,,
1304,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1304,Oil Tanks (Leaking),4,0,0,"3 bulk oil, 1 waste"
1304,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
1304,Oil Tanks (Not In Use),0,,,
1304,Trash Cans,4,,,
1304,Water Bibb cocks (washer/coolant),2,,1,
1304,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,,1,need to replace WF pump
1304,Coolant pump/hoses (Operational),1,,0,
1304,"Air Regulators (Operational, Leaks)",5,,,
1304,"Air hoses (Operational, Leaks, Cracks)",3,1,0,
1304,"Water Separators (Operational, Leaks)",5,,0,
1304,Lower Bay Mop Sink Lift Pump (Operational),,,,
1305,Transmission Machine ,0,,1,ordered
1305,Tire Machines,1,0,0,
1305,Tire Balancer,1,0,0,
1305,Radiator Machine,0,,1,ordered
1305,Oil Evacuator,1,0,1,need 1 more
1305,Differential EVAC machine,0,,1,ordered
1305,BFE EVAC Machine,1,0,0,
1305,A/C machine,0,,1,
1305,Sump EVAC Machine ,1,1,1,leaks and always is going out
1305,"Oil sumps (leaking, roller condition)",3,1,0,needs new wheels/crates and new drain hoses/nozzle
1305,"Compressors (Operational, Down Time)",1,0,1,over 10+ years old
1305,"Oil Pumps (Operational,  Down Time)",3,1,1,1 pump needs to be replaced
1305,"Oil Pump Hoses (Leaking, Cracked, Worn)",,0,0,
1305,"Oil Guns (Leaking, Screen operational)",7,1,1,"only 1/6 is functioning properly(busted faces, not calibrated correctly) A lot of 2nd market guns bought to save money"
1305,"Oil Gun Hoses (Leaking, Cracked, Worn)",7,1,1,4/7 are leaking from gun swivel and down
1305,Grease Gun (Leaking),3,1,,havent ben using so need to be checked out
1305,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,1,bay 2 and 3 need to be replaced (old style) arm locks are broken along with ramps
1305,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1305,Oil Tanks (Leaking),11,0,0,no visible leaks
1305,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
1305,Oil Tanks (Not In Use),6,,1,4(10w30) 2 waste tanks not needed
1305,Trash Cans ,,0,0,multiple
1305,Water Bibb cocks (washer/coolant),2,,1,need 2 more with hoses
1305,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,1,1,"fluid doesn? run smooth through system, hoses leak"
1305,Coolant pump/hoses (Operational),0,1,1,manually taking fluid out of 200gl tank
1305,"Air Regulators (Operational, Leaks)",5,0,0,
1305,"Air hoses (Operational, Leaks, Cracks)",6,1,1,replace 3 with heavy duty hoses
1305,"Water Separators (Operational, Leaks)",1,,1,not operating
1305,Lower Bay Mop Sink Lift Pump (Operational),0,,,
1306,Transmission Machine ,0,0,1,
1306,Tire Machines,1,0,0,
1306,Tire Balancer,1,0,0,
1306,Radiator Machine,0,0,1,
1306,Oil Evacuator,1,0,0,
1306,Differential EVAC machine,0,0,1,
1306,BFE EVAC Machine,0,0,1,
1306,A/C machine,0,0,1,
1306,Sump EVAC Machine ,0,0,0,
1306,"Oil sumps (leaking, roller condition)",2,1,0,WHEELS NEED TO BE REPLACED
1306,"Compressors (Operational, Down Time)",1,0,0,
1306,"Oil Pumps (Operational,  Down Time)",1,1,0,520 PUMP LEAKING GREASE
1306,"Oil Pump Hoses (Leaking, Cracked, Worn)",2,1,0,LEAKING/CRACKED
1306,"Oil Guns (Leaking, Screen operational)",4,0,1,"SCREENS NOT WORKING, LEAKING FITTINGS"
1306,"Oil Gun Hoses (Leaking, Cracked, Worn)",1,0,1,ALL HOSES CRACKED AND LEAKING
1306,Grease Gun (Leaking),3,1,1,NONOPERABLE
1306,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,1,1,"BAY 2 NO SAFTEY LOCKS,                                BAY 3 NO LIFT, NEEDS 9000LB LIFT"
1306,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,0,0,
1306,Oil Tanks (Leaking),0,0,0,
1306,"Oil Tank Hoses (Leaking, Cracked, Worn)",1,1,1,530 OIL TANK HOSE LEAKING OFF OF PUMP
1306,Oil Tanks (Not In Use),4,1,0,NEED PRESSURE TESTS
1306,Trash Cans ,5,0,0,
1306,Water Bibb cocks (washer/coolant),1,0,0,"WASHER FLUID, NO COOLANT"
1306,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,1,1 HOSE NEEDS REPLACED CRACKED BUT OPERATIONAL
1306,Coolant pump/hoses (Operational),0,0,0,
1306,"Air Regulators (Operational, Leaks)",6,0,1,5 WORKING 1 NONOPERATIONAL
1306,"Air hoses (Operational, Leaks, Cracks)",3,0,1,ALL HOSES CRACKED
1306,"Water Separators (Operational, Leaks)",6,0,0,
1306,Lower Bay Mop Sink Lift Pump (Operational),0,0,1,COULD USE ONE
1317,Transmission Machine,0,,1,
1317,Tire Machines,1,0,,
1317,Tire Balancer,1,0,,
1317,Radiator Machine,1,,1,
1317,Oil Evacuator,0,,1,NEED NEW 
1317,Differential EVAC machine,0,,1,
1317,BFE EVAC Machine,0,,1,
1317,A/C machine,0,,1,
1317,Sump EVAC Machine,0,,1,
1317,"Oil sumps (leaking, roller condition)",3,1,,does not roll smoothly
1317,"Compressors (Operational, Down Time)",1,0,,
1317,"Oil Pumps (Operational,  Down Time)",3,1,,oil air rates at random times. Possibly fireballs
1317,"Oil Pump Hoses (Leaking, Cracked, Worn)",6,0,,
1317,"Oil Guns (Leaking, Screen operational)",4,,1,SCREENS do not work
1317,"Oil Gun Hoses (Leaking, Cracked, Worn)",4,0,,
1317,Grease Gun (Leaking),3,,1,do not work
1317,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,0,,
1317,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,,,
1317,Oil Tanks (Leaking),2,1,,2 tanks are rusted and leak if filled 
1317,"Oil Tank Hoses (Leaking, Cracked, Worn)",8,0,,
1317,Oil Tanks (Not In Use),4,,,4 Tanks are empty need pumps and hoses 
1317,Trash Cans,5,,,
1317,Water Bibb cocks (washer/coolant),1,,1,
1317,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,1,,washer fluid hose does not work between bay 2 and 3
1317,Coolant pump/hoses (Operational),0,,,
1317,"Air Regulators (Operational, Leaks)",1,0,,
1317,"Air hoses (Operational, Leaks, Cracks)",4,0,1,air hose going to the tire machine leaks air 
1317,"Water Separators (Operational, Leaks)",1,0,,
1317,Lower Bay Mop Sink Lift Pump (Operational),0,0,,
1326,Transmission Machine ,0,0,1,
1326,Tire Machines,1,0,0,
1326,Tire Balancer,1,0,0,
1326,Radiator Machine,0,0,1,replace
1326,Oil Evacuator,1,0,1,replace wit new one
1326,Differential EVAC machine,0,0,1,needs one
1326,BFE EVAC Machine,0,0,1,needs one
1326,A/C machine,0,0,0,
1326,Sump EVAC Machine ,1,0,1,
1326,"Oil sumps (leaking, roller condition)",4,0,0,all parts replaced
1326,"Compressors (Operational, Down Time)",1,0,0,currently up stairs in break area would like to move outside in storage unit
1326,"Oil Pumps (Operational,  Down Time)",1,0,0,
1326,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,0,1,replace all hoses
1326,"Oil Guns (Leaking, Screen operational)",6,0,0,
1326,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,0,1,replace all hoses
1326,Grease Gun (Leaking),1,0,0,one in stock and it's a manual grease gun
1326,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",4,1,1,May 1 replace bay 2 and 3 replace pads
1326,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,0,0,
1326,Oil Tanks (Leaking),4,0,0,
1326,"Oil Tank Hoses (Leaking, Cracked, Worn)",6,0,0,
1326,Oil Tanks (Not In Use),6,0,0,would like to have remove
1326,Trash Cans ,3,0,0,
1326,Water Bibb cocks (washer/coolant),2,0,0,
1326,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
1326,Coolant pump/hoses (Operational),1,0,0,
1326,"Air Regulators (Operational, Leaks)",4,0,0,
1326,"Air hoses (Operational, Leaks, Cracks)",3,0,0,
1326,"Water Separators (Operational, Leaks)",1,0,0,
1326,Lower Bay Mop Sink Lift Pump (Operational),0,,,
1333,Transmission Machine ,1,,1,ordered by Russ Bowling
1333,Tire Machines,1,,0,operational
1333,Tire Balancer,1,1,0,needs to be recalibrated and tool to calibrate
1333,Radiator Machine,1,,1,ordered by Russ Bowling
1333,Oil Evacuator,1,,,have one and is operational
1333,Differential EVAC machine,1,,1,ordered by Russ Bowling
1333,BFE EVAC Machine,1,,1,need an additional one
1333,A/C machine,1,,,no known issues
1333,Sump EVAC Machine ,1,,1,have had issues since 2021. Needs to be replaced
1333,"Oil sumps (leaking, roller condition)",3,,,issues with the wheels rolling back and forth
1333,"Compressors (Operational, Down Time)",1,,,replaced with new one in 2021
1333,"Oil Pumps (Operational,  Down Time)",3,,,operational need to replace fireballs from time to time
1333,"Oil Pump Hoses (Leaking, Cracked, Worn)",3,0,0,
1333,"Oil Guns (Leaking, Screen operational)",6,0,0,all working just replace 4 new ones less than a year ago
1333,"Oil Gun Hoses (Leaking, Cracked, Worn)",6,,,hoses all in good working condition
1333,Grease Gun (Leaking),1,,1,will need new one for gear boxes
1333,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,1,1,bay 3-operational bay 1 - locks are bent bay 2 - locks are bent
1333,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,,,
1333,Oil Tanks (Leaking),3,,,no leaks
1333,"Oil Tank Hoses (Leaking, Cracked, Worn)",3,,,no leaks
1333,Oil Tanks (Not In Use),,,,
1333,Trash Cans ,6,,,replace with new ones
1333,Water Bibb cocks (washer/coolant),,,,
1333,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",2,0,0,operational replaced with 2 new ones less than 6 months ago
1333,Coolant pump/hoses (Operational),2,0,0,operational
1333,"Air Regulators (Operational, Leaks)",4,1,1,bay1-not working bay 2-working bay 3-not 4 hose not working
1333,"Air hoses (Operational, Leaks, Cracks)",4,,,in good shape
1333,"Water Separators (Operational, Leaks)",1,1,,have had noble out twice in the last year to suck and drain
1333,Lower Bay Mop Sink Lift Pump (Operational),,,,
1354,Transmission Machine,1,0,0,
1354,Tire Machines,0,,,
1354,Tire Balancer,0,,,
1354,Radiator Machine,1,0,0,
1354,Oil Evacuator,1,0,0,
1354,Differential EVAC machine,1,0,0,
1354,BFE EVAC Machine,1,0,0,
1354,A/C machine,1,0,0,
1354,Sump EVAC Machine,0,0,0,
1354,"Oil sumps (leaking, roller condition)",2,0,0,
1354,"Compressors (Operational, Down Time)",1,0,0,
1354,"Oil Pumps (Operational,  Down Time)",5,0,0,
1354,"Oil Pump Hoses (Leaking, Cracked, Worn)",5,0,0,
1354,"Oil Guns (Leaking, Screen operational)",5,1,0,1 NEEDS REPLACEMENT
1354,"Oil Gun Hoses (Leaking, Cracked, Worn)",5,0,0,
1354,Grease Gun (Leaking),2,0,0,
1354,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",2,0,1,BOTH LIFTS NEED TO BE PELACED.
1354,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",0,0,0,
1354,Oil Tanks (Leaking),6,0,0,
1354,"Oil Tank Hoses (Leaking, Cracked, Worn)",6,0,0,
1354,Oil Tanks (Not In Use),0,0,0,
1354,Trash Cans,3,0,0,
1354,Water Bibb cocks (washer/coolant),2,0,0,
1354,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",1,0,0,
1354,Coolant pump/hoses (Operational),1,0,0,
1354,"Air Regulators (Operational, Leaks)",7,0,0,
1354,"Air hoses (Operational, Leaks, Cracks)",3,0,0,
1354,"Water Separators (Operational, Leaks)",1,0,0,
1354,Lower Bay Mop Sink Lift Pump (Operational),1,0,0,
1359,Transmission Machine,1,0,0,
1359,Tire Machines,1,0,0,
1359,Tire Balancer,1,0,0,
1359,Radiator Machine,1,0,0,
1359,Oil Evacuator,,0,0,
1359,Differential EVAC machine,1,0,0,
1359,BFE EVAC Machine,1,0,0,
1359,A/C machine,,0,0,
1359,Sump EVAC Machine,,0,0,
1359,"Oil sumps (leaking, roller condition)",2,1,0,BAY 2 AND 3 WHEEL COMING UNDONE
1359,"Compressors (Operational, Down Time)",,0,0,
1359,"Oil Pumps (Operational,  Down Time)",,0,0,
1359,"Oil Pump Hoses (Leaking, Cracked, Worn)",,0,0,
1359,"Oil Guns (Leaking, Screen operational)",6,1,0,2 OIL GUNS SCREENS NOT WORKING
1359,"Oil Gun Hoses (Leaking, Cracked, Worn)",,0,0,
1359,Grease Gun (Leaking),,0,0,
1359,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,
1359,"Post Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",,0,0,
1359,Oil Tanks (Leaking),8,1,0,2 USED OIL TANKS LEAKING
1359,"Oil Tank Hoses (Leaking, Cracked, Worn)",,0,0,
1359,Oil Tanks (Not In Use),,0,0,
1359,Trash Cans,,0,0,
1359,Water Bibb cocks (washer/coolant),,0,0,
1359,"Washer Fluid pump/hoses (Operational, Leaks, Cracks)",,0,0,
1359,Coolant pump/hoses (Operational),,0,0,
1359,"Air Regulators (Operational, Leaks)",,0,0,
1359,"Air hoses (Operational, Leaks, Cracks)",,0,0,
1359,"Water Separators (Operational, Leaks)",,,,
1359,Lower Bay Mop Sink Lift Pump (Operational),,,,
1362,Transmission Machine,1,0,0,New
1362,Tire Machines,1,0,0,Good Condition
1362,Tire Balancer,1,1,0,Have power on issues
1362,Radiator Machine,1,0,0,Good Condition
1362,Oil Evacuator,1,0,0,Good Condition
1362,Differential EVAC machine,1,0,0,Good Condition
1362,BFE EVAC Machine,1,0,0,Good Condition
1362,A/C machine,0,,,Good Condition
1362,Sump EVAC Machine,0,,,Good Condition
1362,"Oil sumps (leaking, roller condition)",3,0,0,Good Condition
1362,"Compressors (Operational, Down Time)",1,0,0,Good Condition
1362,"Oil Pumps (Operational,  Down Time)",4,0,0,Good Condition
1362,"Oil Pump Hoses (Leaking, Cracked, Worn)",4,0,0,Good Condition
1362,"Oil Guns (Leaking, Screen operational)",4,1,0,One gun leaking from tip
1362,"Oil Gun Hoses (Leaking, Cracked, Worn)",4,0,0,Good Condition
1362,Grease Gun (Leaking),0,,,Good Condition
1362,"Floor Lifts (Locks Engage/Disengage, Hydraulic cylinder leaking)",3,0,0,Good Condition
